timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1776848072.836843,104.849,0.000,primary
1776848074.9063573,87.189,0.000,primary
1776848076.947004,104.016,0.000,primary
1776848079.1334085,80.141,0.000,primary
1776848081.5316029,87.163,0.000,primary
1776848083.7569132,94.610,0.000,primary
1776848085.7993433,79.172,0.000,primary
1776848088.0808072,66.806,0.000,primary
1776848090.3040638,66.422,0.000,primary
1776848092.8769982,56.809,0.000,primary
1776848095.9649088,68.431,0.000,primary
1776849894.277766,0.000,0.000,primary
1776849895.88641,0.000,0.000,primary
1776849897.450857,0.000,0.000,primary
1776849898.7968562,0.000,0.000,primary
1776849900.1668804,0.000,0.000,primary
1776849901.500947,0.000,0.000,primary
1776849902.602134,0.000,0.000,primary
1776849903.8308592,0.000,0.000,primary
1776849904.943312,0.000,0.000,primary
1776849906.1601942,0.000,0.000,primary
1776849907.4697502,0.000,0.000,primary
1776849908.9200058,0.000,0.000,primary
1776849910.2729404,0.000,0.000,primary
1776849911.6221597,0.000,0.000,primary
1776849912.7150226,0.000,0.000,primary
1776849914.0590587,0.000,0.000,primary
1776849915.275912,0.000,0.000,primary
1776849916.5398006,0.000,0.000,primary
1776849917.635307,0.000,0.000,primary
1776849918.9482005,1299.924,0.000,primary
1776849920.5357184,1932.663,0.000,backup
1776849922.4542458,1492.993,0.000,primary
1776849924.02196,1666.131,0.000,backup
1776849925.5983937,1646.272,0.000,primary
1776849926.9814796,1561.880,0.000,primary
1776849928.2320392,1719.863,0.000,backup
1776849929.653987,1640.363,0.004,primary
1776849931.142809,1741.000,0.000,backup
1776849932.488224,1739.148,0.003,primary
1776849934.0146027,1800.042,0.000,backup
1776849935.5298862,1805.253,0.003,primary
1776849937.1820028,1629.664,0.000,backup
1776849938.5101442,1674.349,0.007,primary
1776849940.167421,1585.914,0.000,primary
1776849941.4442956,1683.143,0.000,backup
1776849943.0808525,1725.404,0.000,primary
1776849944.5739594,1741.638,0.000,backup
1776849946.1685252,1683.522,0.000,primary
1776849947.6851873,1671.983,0.000,backup
1776849949.300326,1746.655,0.000,primary
1776849950.8384624,1762.715,0.000,backup
1776849952.4740932,1622.631,0.003,primary
1776849954.0069723,1686.156,0.003,backup
1776849955.5376303,1814.206,0.003,primary
1776849956.8886561,1770.089,0.000,backup
1776849958.3749933,1797.282,0.000,primary
1776849959.7115715,1906.685,0.000,backup
1776849961.2549343,1605.267,0.000,primary
1776849962.6187487,1765.367,0.000,backup
1776849964.3207183,1727.920,0.000,primary
1776849965.8418818,1746.111,0.000,backup
1776849967.4899573,1724.811,0.000,primary
1776849968.84059,1591.620,0.000,primary
1776849970.1950107,1328.075,0.000,primary
1776849971.3542368,1515.442,0.000,primary
1776849972.6791553,1478.982,0.000,primary
1776849973.8038297,1578.811,0.000,primary
1776849975.097467,1537.890,0.000,primary
1776849976.267283,1116.853,0.000,primary
