timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1777796355.8879673,299.804,0.000,primary
1777796356.8948967,1708.264,0.000,backup
1777796358.1620803,1592.497,0.000,primary
1777796359.616448,1449.924,0.000,backup
1777796360.8674402,1351.362,0.000,primary
1777796361.965006,1384.218,0.000,primary
1777796363.2676823,1321.149,0.000,backup
1777796364.436896,1376.207,0.000,primary
1777796365.8682578,1315.050,0.000,backup
1777796367.062378,1155.733,0.000,backup
1777796368.3586156,1381.196,0.000,primary
1777796369.414097,1437.928,0.000,backup
1777796370.9900603,1137.364,0.000,primary
1777796372.368619,1170.304,0.000,backup
1777796373.4604375,1012.170,0.000,backup
1777796374.477679,1204.854,0.000,backup
1777796375.6600816,1040.098,0.000,backup
1777796376.690929,1099.791,0.000,backup
1777796377.8525026,1113.490,0.000,backup
1777796378.8894992,1094.242,0.000,backup
1777796379.9534423,1172.703,0.000,backup
1777796381.3038845,1269.729,0.000,primary
1777796382.4119432,1153.524,0.000,primary
1777796383.5138564,1290.101,0.000,backup
1777796384.7578554,1353.398,0.000,primary
1777796386.3840246,1227.600,0.000,backup
1777796387.5505397,1219.993,0.000,primary
1777796388.78488,1201.057,0.000,primary
1777796390.1192052,1286.466,0.000,backup
1777796391.1347497,1077.309,0.000,backup
1777796392.3092499,943.066,0.000,primary
1777796393.3541064,954.279,0.000,primary
1777796394.386167,1336.174,0.000,backup
1777796395.3968356,935.965,0.000,primary
1777796396.448464,0.000,0.000,primary
1777796397.4855611,0.000,0.000,primary
1777796619.5561576,0.000,0.000,primary
1777796620.6886332,0.000,0.000,primary
1777796621.7695642,0.000,0.000,primary
1777796622.829821,0.000,0.000,primary
1777796623.8307989,0.000,0.000,primary
1777796624.8319042,0.000,0.000,primary
1777796625.8381956,0.000,0.000,primary
1777796626.8448598,0.000,0.000,primary
1777796628.092456,0.000,0.000,primary
1777796629.1440864,0.000,0.000,primary
1777796630.1875331,594.689,0.000,primary
1777796631.2320144,1617.133,0.000,backup
1777796632.2468882,1409.657,0.000,backup
1777796633.2493992,1525.997,0.000,backup
1777796634.274245,1455.789,0.000,backup
1777796635.3685982,1453.189,0.000,backup
1777796636.4518814,1309.749,0.000,primary
1777796637.5665357,1239.048,0.000,backup
1777796638.6212425,1193.420,0.000,backup
1777796639.7049344,1256.532,0.000,backup
1777796640.7310944,1111.979,0.001,backup
1777796641.7779956,1240.951,0.001,backup
1777796642.8985767,1338.945,0.001,backup
1777796643.9004269,1357.599,0.000,backup
1777796644.9225078,1320.466,0.000,backup
1777796645.9664729,1276.162,0.001,backup
1777796646.9793205,1202.827,0.001,backup
1777796648.0283096,1272.077,0.001,backup
1777796649.0843923,1184.900,0.000,backup
1777796650.2347643,1214.304,0.001,backup
1777796651.248517,1276.884,0.001,backup
1777796652.2936811,1358.119,0.001,backup
1777796653.4012818,1270.668,0.000,backup
1777796654.4656057,1229.543,0.000,backup
1777796655.5083609,921.977,0.000,backup
1777796656.5367575,879.151,0.000,backup
1777796657.6067193,978.526,0.000,backup
1777796658.7885716,1235.737,0.000,backup
1777796659.8091338,1010.481,0.000,backup
1777796660.8709164,860.425,0.000,backup
1777796661.9687257,939.742,0.000,backup
1777796663.131605,1085.119,0.000,backup
1777796664.2284327,931.568,0.000,primary
1777796665.2501793,907.392,0.000,primary
1777797064.1279316,0.000,0.000,primary
1777797065.1685808,0.000,0.000,primary
1777797066.3599305,0.000,0.000,primary
1777797067.397088,0.000,0.000,primary
1777797068.423924,0.000,0.000,primary
1777797069.463293,0.000,0.000,primary
1777797070.5653226,0.000,0.000,primary
1777797071.5824008,0.000,0.000,primary
1777797072.6005821,0.000,0.000,primary
1777797073.659724,0.000,0.000,primary
1777797074.6924317,0.000,0.000,primary
1777797075.760967,0.000,0.000,primary
1777797076.8630254,102.987,0.000,primary
1777797077.9772494,1194.797,0.000,backup
1777797079.0650184,465.775,0.011,backup
1777797080.068221,0.000,0.008,backup
1777797081.0970037,0.000,0.003,backup
1777797082.1176717,0.000,0.008,backup
1777797083.3580928,0.000,0.002,primary
1777797084.3673959,407.516,0.000,primary
1777797085.4837842,1215.815,0.000,backup
1777797086.5249267,432.925,0.000,backup
1777797087.5681937,0.000,0.000,backup
1777797088.6124403,0.000,0.000,backup
1777797089.648863,0.000,0.033,backup
1777797090.9055138,0.000,0.029,primary
1777797091.9129112,733.936,0.000,primary
1777797092.9672937,1256.197,0.000,backup
1777797093.985202,526.949,0.000,backup
1777797095.0748663,0.000,0.000,backup
1777797096.1288285,0.000,0.000,backup
1777797097.3475978,0.000,0.000,backup
1777797098.4108114,0.000,0.000,primary
1777797099.542714,0.000,0.000,primary
1777797100.6114223,0.000,0.000,primary
1777797101.7034333,0.000,0.000,primary
1777797102.707485,0.000,0.000,primary
1777797103.9437792,0.000,0.000,primary
1777797105.0404358,0.000,0.000,primary
1777797106.085575,0.000,0.000,primary
1777797107.1305742,0.000,0.000,primary
1777797108.1381254,631.770,0.000,primary
1777797109.186115,1204.214,0.000,backup
1777797110.2667854,516.326,0.004,backup
1777797111.2933466,0.000,0.004,backup
1777797112.3522236,0.000,0.004,backup
1777797113.3925085,0.000,0.004,backup
1777797114.65812,0.000,0.000,primary
1777797115.738797,869.732,0.000,primary
1777797116.7649508,1079.101,0.000,backup
1777797195.1970146,0.000,0.000,primary
1777797196.2764165,0.000,0.000,primary
1777797197.4861574,0.000,0.000,primary
1777797198.599871,0.000,0.000,primary
1777797199.7383242,0.007,0.000,primary
1777797200.8505135,0.004,0.000,primary
1777797201.8722186,0.000,0.000,primary
1777797202.8992581,0.000,0.000,primary
1777797203.9312775,0.010,0.000,primary
1777797204.9426725,0.000,0.000,primary
1777797205.9480612,0.000,0.000,primary
1777797207.030599,0.000,0.000,primary
1777797208.0687418,0.006,0.000,primary
1777797209.1351426,0.000,0.000,primary
1777797210.2389736,0.000,0.000,primary
1777797211.2437,194.986,0.000,primary
1777797212.3796716,923.116,0.000,primary
1777797213.4194355,1248.112,0.000,backup
1777797214.4318259,495.045,0.000,backup
1777797215.4703324,0.000,0.000,backup
1777797216.5176907,0.000,0.025,backup
1777797217.6146297,0.000,0.000,backup
1777797218.924676,0.000,0.000,primary
1777797219.959951,0.005,0.000,primary
1777797220.9687762,0.000,0.000,primary
1777797221.9722924,0.000,0.000,primary
1777797223.0699449,0.000,0.000,primary
1777797224.1028728,0.000,0.000,primary
1777797225.1039112,0.000,0.000,primary
1777797226.1142247,0.000,0.000,primary
1777797227.1265042,0.000,0.000,primary
1777797228.1477838,0.000,0.000,primary
1777797300.3807518,0.000,0.000,primary
1777797301.4793775,0.000,0.000,primary
1777797302.6237805,0.000,0.000,primary
1777797303.6902547,0.000,0.000,primary
1777797304.7650743,0.000,0.000,primary
1777797305.7903705,0.000,0.000,primary
1777797403.256269,0.000,0.000,primary
1777797404.2983718,0.002,0.000,primary
1777797405.3086083,0.000,0.002,primary
1777797406.3119316,0.000,0.000,primary
1777797407.3421757,0.000,0.000,primary
1777797408.3651052,0.000,0.000,primary
1777797409.4247649,0.000,0.000,primary
1777797410.5076122,0.000,0.000,primary
1777797411.686756,0.000,0.000,primary
1777797412.769095,0.000,0.000,primary
1777797413.9342651,538.871,0.000,primary
1777797415.0481303,1250.207,0.000,backup
1777797416.1612198,639.553,0.016,backup
1777797417.1929822,0.000,0.014,backup
1777797418.217115,0.000,0.014,backup
1777797419.2772357,0.000,0.014,backup
1777797420.4757416,0.000,0.000,primary
1777797421.6105375,1587.277,0.001,backup
1777797422.6679084,516.769,0.000,backup
1777797423.7365437,0.000,0.091,backup
1777797424.8464887,0.000,0.087,backup
1777797425.9378402,0.000,0.090,backup
1777797426.99878,0.000,0.091,primary
1777797428.1431675,1073.932,0.000,backup
1777797429.2837112,544.071,0.001,backup
1777797430.3002295,0.000,0.002,backup
1777797431.398541,0.000,0.003,backup
1777797432.4226866,0.000,0.000,backup
1777797433.4395242,0.000,0.000,primary
1777797434.471755,0.001,0.000,primary
1777797435.5782661,1520.184,0.000,backup
1777797436.6411,0.000,0.002,backup
1777797437.6472683,0.000,0.002,backup
1777797438.6586158,0.000,0.002,backup
1777797439.6831803,0.000,0.000,backup
1777797440.9366405,0.000,0.001,primary
1777797442.0339253,0.008,0.001,primary
1777797443.1409879,0.008,0.000,primary
1777797444.1868262,0.000,0.000,primary
1777797445.4521294,0.007,0.000,primary
1777797446.4845293,0.000,0.000,primary
1777797447.621174,0.000,0.000,primary
1777797448.6635342,0.000,0.000,primary
1777797449.7133,0.000,0.000,primary
1777797450.8416018,0.000,0.000,primary
1777797451.858028,0.000,0.000,primary
1777797452.8768046,0.000,0.000,primary
1777797453.9033065,0.001,0.001,primary
1777797454.9504933,0.000,0.000,primary
1777797456.0016613,0.000,0.000,primary
1777797457.026953,0.000,0.000,primary
1777797458.0469708,0.000,0.001,primary
1777797459.082533,0.000,0.000,primary
1777797460.11915,0.000,0.000,primary
1777797461.141724,0.000,0.000,primary
1777797462.1690946,0.000,0.000,primary
1777797463.198375,0.000,0.000,primary
1777797464.222104,0.000,0.000,primary
1777797465.2461486,0.000,0.000,primary
1777797466.2544093,0.000,0.000,primary
1777797467.2838557,0.000,0.000,primary
1777797468.304506,0.002,0.000,primary
1777797469.339555,0.000,0.002,primary
1777797470.359059,0.000,0.000,primary
1777797471.3919997,0.000,0.000,primary
1777797472.4142418,0.000,0.000,primary
1777797473.4400315,0.000,0.000,primary
1777797474.454966,0.001,0.000,primary
1777797475.475135,0.000,0.000,primary
1777797476.4913378,0.019,0.000,primary
1777797477.5269496,0.000,0.000,primary
1777797478.541229,0.029,0.000,primary
1777797479.5633323,0.000,0.000,primary
1777797480.5771358,0.000,0.000,primary
1777797481.6052635,0.001,0.000,primary
1777797482.612454,0.009,0.000,primary
1777797483.636148,0.000,0.000,primary
1777797484.653018,0.000,0.000,primary
1777797485.676064,0.000,0.000,primary
1777797486.700062,0.000,0.000,primary
1777797487.7234676,0.000,0.000,primary
1777797488.7323327,0.000,0.000,primary
1777797489.759336,0.000,0.000,primary
1777797490.8106315,0.054,0.000,primary
1777797491.837722,0.000,0.000,primary
1777797492.8834057,0.000,0.000,primary
1777797493.9186645,0.000,0.000,primary
1777797494.9423764,0.000,0.000,primary
1777797495.967069,0.000,0.000,primary
1777797496.9703064,0.000,0.000,primary
1777797497.9982588,0.000,0.000,primary
1777797499.006573,0.000,0.000,primary
1777797500.029327,0.000,0.000,primary
1777797501.067443,0.000,0.000,primary
1777797812.9151394,0.000,0.000,primary
1777797813.9764817,0.002,0.002,primary
1777797815.1947436,0.000,0.000,primary
1777797816.2281792,0.000,0.000,primary
1777797817.3575392,0.000,0.000,primary
1777797818.461171,0.001,0.001,primary
1777797819.497358,0.000,0.000,primary
1777797820.5105202,1156.582,0.000,backup
1777797821.512176,574.630,0.037,backup
1777797822.6232123,0.003,0.049,backup
1777797823.7442145,0.000,0.030,backup
1777797824.8493545,0.000,0.040,backup
